MOC Workplace number,Machine name,Number of stops,Production time,MTBF
-,Placeholder 1,0,,0:00:00
-,Placeholder 2,0,,0:00:00
-,Placeholder 3,0,,0:00:00
-,Placeholder 4,0,,0:00:00
-,Placeholder 5,0,,0:00:00
-,Placeholder 6,0,,0:00:00
-,Placeholder 7,0,,0:00:00
21210,Placeholder 8,0,100:37:55,0:00:00
21211,Placeholder 9,0,124:51:22,0:00:00
21212,Placeholder 10,0,0:06:58,0:00:00
21213,Placeholder 11,0,225:27:03,0:00:00
21214,Placeholder 12,0,237:51:19,0:00:00
21215,Placeholder 13,0,234:24:10,0:00:00
21216,Placeholder 14,0,230:58:17,0:00:00
21217,Placeholder 15,0,22:03:24,0:00:00
21218,Placeholder 16,0,217:46:11,0:00:00
21219,Placeholder 17,0,85:42:35,0:00:00
21220,Placeholder 18,0,161:18:19,0:00:00
21221,Placeholder 19,0,323:21:58,0:00:00
21222,Placeholder 20,,611:09:00,0:00:00
21223,Placeholder 21,0,406:26:54,0:00:00
21224,Placeholder 22,0,427:35:22,0:00:00
21225,Placeholder 23,0,414:22:24,0:00:00
21226,Placeholder 24,0,393:59:07,0:00:00
21227,Placeholder 25,0,386:25:47,0:00:00
21228,Placeholder 26,0,434:57:41,0:00:00
21229,Placeholder 27,0,209:29:11,0:00:00
21230,Placeholder 28,0,226:09:22,0:00:00
21231,Placeholder 29,0,364:45:25,0:00:00
21232,Placeholder 30,0,393:49:42,0:00:00
21233,Placeholder 31,0,424:41:35,0:00:00
21234,Placeholder 32,0,552:27:54,0:00:00
21235,Placeholder 33,0,527:29:09,0:00:00
21236,Placeholder 34,0,150:00:33,0:00:00
21237,Placeholder 35,0,36:32:22,0:00:00
21238,Placeholder 36,34,156:07:06,4:35:30
21239,Placeholder 37,18,194:05:26,10:46:58
21240,Placeholder 38,14,216:10:51,15:26:29
21241,Placeholder 39,4,71:08:41,17:47:10
21242,Placeholder 40,8,186:58:13,23:22:17
21243,Placeholder 41,7,168:08:34,24:01:13
21244,Placeholder 42,13,321:55:25,24:45:48
21245,Placeholder 43,2,50:29:17,25:14:38
21246,Placeholder 44,1,26:22:43,26:22:43
21247,Placeholder 45,11,371:46:19,33:47:51
21248,Placeholder 46,1,47:15:52,47:15:52
21249,Placeholder 47,3,148:41:30,49:33:50
21250,Placeholder 48,5,288:26:20,57:41:16
21251,Placeholder 49,5,328:41:23,65:44:17
21252,Placeholder 50,5,367:07:15,73:25:27
21253,Placeholder 51,2,189:20:16,94:40:08
21254,Placeholder 52,3,289:54:15,96:38:05
21255,Placeholder 53,3,303:35:07,101:11:42
21256,Placeholder 54,2,235:08:11,117:34:06
21257,Placeholder 55,3,380:15:17,126:45:06
21258,Placeholder 56,2,274:56:47,137:28:24
21259,Placeholder 57,1,140:59:04,140:59:04
21260,Placeholder 58,1,141:35:04,141:35:04
21261,Placeholder 59,0,,0:00:00
21262,Placeholder 60,2,312:44:39,156:22:19
21263,Placeholder 61,2,332:31:48,166:15:54
21264,Placeholder 62,1,168:20:10,168:20:10
21265,Placeholder 63,2,384:42:05,192:21:02
21266,Placeholder 64,1,194:28:32,194:28:32
21267,Placeholder 65,2,432:01:30,216:00:45
21268,Placeholder 66,1,242:28:40,242:28:40
21269,Placeholder 67,1,312:09:54,312:09:54
21270,Placeholder 68,1,390:56:52,390:56:52
