MOC Workplace number,Machine name,Repair time,Number of stops,MTTR
31255,Placeholder 1,8:23:53,1,8:23:53
31256,Placeholder 2,4:58:19,1,4:58:19
31257,Placeholder 3,6:45:52,2,3:22:56
31258,Placeholder 4,3:11:30,1,3:11:30
31259,Placeholder 5,56:45:08,18,3:09:10
31260,Placeholder 6,10:58:47,7,1:34:07
31261,Placeholder 7,9:03:52,8,1:07:59
31262,Placeholder 8,2:03:20,2,1:01:40
31263,Placeholder 9,3:37:42,4,0:54:26
31264,Placeholder 10,1:41:17,2,0:50:39
31265,Placeholder 11,2:27:51,3,0:49:17
31266,Placeholder 12,25:34:25,34,0:45:08
31267,Placeholder 13,0:44:37,1,0:44:37
31268,Placeholder 14,10:01:09,14,0:42:56
31269,Placeholder 15,2:07:38,3,0:42:33
31270,Placeholder 16,7:47:08,11,0:42:28
31271,Placeholder 17,1:06:15,2,0:33:08
31272,Placeholder 18,0:28:16,1,0:28:16
31273,Placeholder 19,0:46:38,2,0:23:19
31274,Placeholder 20,1:54:13,5,0:22:51
31275,Placeholder 21,0:18:38,1,0:18:38
31276,Placeholder 22,0:16:25,1,0:16:25
31277,Placeholder 23,1:12:22,5,0:14:28
31278,Placeholder 24,0:37:04,3,0:12:21
31279,Placeholder 25,0:24:14,2,0:12:07
31280,Placeholder 26,0:22:34,2,0:11:17
31281,Placeholder 27,2:17:57,13,0:10:37
31282,Placeholder 28,0:22:48,3,0:07:36
31283,Placeholder 29,0:36:32,5,0:07:18
31284,Placeholder 30,0:06:31,1,0:06:31
31285,Placeholder 31,0:06:10,1,0:06:10
31286,Placeholder 32,0:12:00,2,0:06:00
31287,Placeholder 33,,0,0:00:00
31288,Placeholder 34,,0,0:00:00
31289,Placeholder 35,,0,0:00:00
31290,Placeholder 36,,0,0:00:00
31291,Placeholder 37,,0,0:00:00
31292,Placeholder 38,,0,0:00:00
31293,Placeholder 39,,0,0:00:00
31294,Placeholder 40,,0,0:00:00
31295,Placeholder 41,,0,0:00:00
31296,Placeholder 42,,0,0:00:00
31297,Placeholder 43,,0,0:00:00
31298,Placeholder 44,,0,0:00:00
31299,Placeholder 45,,0,0:00:00
31300,Placeholder 46,,0,0:00:00
31301,Placeholder 47,,0,0:00:00
31302,Placeholder 48,,0,0:00:00
31303,Placeholder 49,,0,0:00:00
31304,Placeholder 50,,0,0:00:00
31305,Placeholder 51,,0,0:00:00
31306,Placeholder 52,,,0:00:00
31307,Placeholder 53,,0,0:00:00
31308,Placeholder 54,,0,0:00:00
31309,Placeholder 55,,0,0:00:00
31310,Placeholder 56,,0,0:00:00
31311,Placeholder 57,,0,0:00:00
31312,Placeholder 58,,0,0:00:00
31313,Placeholder 59,,0,0:00:00
31314,Placeholder 60,,0,0:00:00
31315,Placeholder 61,,0,0:00:00
31316,Placeholder 62,,0,0:00:00
31317,Placeholder 63,,0,0:00:00
31318,Placeholder 64,,0,0:00:00
31319,Placeholder 65,,0,0:00:00
31320,Placeholder 66,,0,0:00:00
31321,Placeholder 67,,0,0:00:00
31322,Placeholder 68,,0,0:00:00
